metric,mean,sd,min,max,n
dice,0.908666,0.05674166620306456,0.843314,0.998401,5
iou,0.8367281999999999,0.09889010662953095,0.729078,0.996807,5
precision,0.8679216000000001,0.12332290159901364,0.729078,0.999846,5
recall,0.9687978000000002,0.06972273351784194,0.844074,1.0,5
f1,0.908666,0.05674166620306456,0.843314,0.998401,5
accuracy,0.9543444000000001,0.02856776997422092,0.920842,0.998744,5
hausdorff_95,45.6,27.808272150566996,0.0,76.0,5
